Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,2405282,0.14,Equity Shares,96,48356.00,Disposal,Equity,2405186,0.14,21 May 2025,21 May 2025,23 May 2025,Market Sale,,,,,,,NSE,26 May 2025
532832,Embassy Developments Ltd,Bellanza Developers Private Limited,Promoter Group,Equity Shares,61852979,4.68,Equity Shares,28697000,3200002470.00,Acquisition,Equity,90549979,6.71,22 May 2025,22 May 2025,26 May 2025,Allotment,,,,,,,NA,26 May 2025
532832,Embassy Developments Ltd,Bellanza Developers Private Limited,Promoter Group,Warrants,42173567,2.93,Warrants,28697000,800000618.00,Disposal,Warrants,13476567,0.94,22 May 2025,22 May 2025,26 May 2025,Conversion of security,,,,,,,NA,26 May 2025
530217,Swojas Foods Ltd,JYOTI KHANDELWAL,Promoter & Director,Equity Shares,9088794,29.35,Equity Shares,100000,2430000.00,Disposal,Equity,8988794,29.03,26 May 2025,26 May 2025,26 May 2025,Market Sale,,,,,,,BSE,26 May 2025
526650,Tourism Finance Corporation of India Ltd,Aditya Kumar Halwasiya,Director,Equity Shares,14074142,15.20,Equity Shares,1000000,213800000.00,Acquisition,Equity,15074142,16.28,26 May 2025,26 May 2025,26 May 2025,Market Purchase,,,,,,,NSE,26 May 2025
523648,Plastiblends India Ltd-$,Shreevallabh Gopilal Kabra,Promoter & Director,Equity Shares,8000,0.03,Equity Shares,7000,0.00,Disposal,Equity,1000,0.00,23 May 2025,23 May 2025,26 May 2025,Gift,,,,,,,NA,26 May 2025
523648,Plastiblends India Ltd-$,Shreevallabh Kabra Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,7000,0.00,Acquisition,Equity,7000,0.03,23 May 2025,23 May 2025,26 May 2025,Gift,,,,,,,NA,26 May 2025
524109,Kabra Extrusiontechnik Ltd,Shreevallabh G. Kabra,Promoter,Equity Shares,1250270,3.57,Equity Shares,1249270,332055966.00,Disposal,Equity,1000,0.00,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,NA,26 May 2025
524109,Kabra Extrusiontechnik Ltd,Shreevallabh Kabvra Family Trust,Promoter Group,Equity Shares,1799185,5.14,Equity Shares,1249270,332055966.00,Acquisition,Equity,3048455,8.71,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,NA,26 May 2025
519477,CIAN Agro Industries & Infrastructure Ltd,Chaitanya Constructions and Builders Private Limited,Promoter,Equity Shares,2150000,7.68,Equity Shares,16566821,340349380.00,Acquisition,Equity,18716821,66.88,24 May 2025,24 May 2025,26 May 2025,Inter-se Transfer,,,,,,,NA,26 May 2025
513709,Shilp Gravures Ltd-$,Siddharth Narendra Patil,Promoter Group,Equity Shares,105700,1.72,Equity Shares,105700,16843295.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Ravindra Ramkrishna Patil/Sunanda Ravindra Patil,Promoter Group,Equity Shares,1500,0.02,Equity Shares,1500,239025.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Narendra Ramkrishna Patil/Chhaya Narendra Patil,Promoter,Equity Shares,182500,2.97,Equity Shares,182500,29081375.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Chhaya Narendra Patil/Narendra Ramkrishna Patil,Promoter Group,Equity Shares,75000,1.22,Equity Shares,75000,11951250.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Narendra Ramkrishna Patil HUF,Promoter Group,Equity Shares,46300,0.75,Equity Shares,46300,7377905.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Gajanan Vamanrao Bhavsar/Sangita Gajanan Bhavsar,Promoter,Equity Shares,309410,50.30,Equity Shares,309410,49304484.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Gajanan Vamanrao Bhavsar/Sangita Gajanan Bhavsar Revised ,Promoter,Equity Shares,309410,5.03,Equity Shares,309410,49304484.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Neil Roshan Shah/Roshan Harshvadan Shah,Promoter Group,Equity Shares,122981,2.00,Equity Shares,122981,19597022.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Akiyam Sampati Management LLP,Promoter,Equity Shares,532,0.01,Equity Shares,1569824,250151454.00,Acquisition,Equity,1570356,25.54,23 May 2025,23 May 2025,25 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Pranav Chandrakant Bhalara,Promoter,Equity Shares,0,0.00,Equity Shares,5000,796750.00,Acquisition,Equity,5000,0.08,23 May 2025,23 May 2025,25 May 2025,Off Market,,,,,,,BSE,26 May 2025
513575,Sterling Powergensys Ltd,SVETA ALLOYS LLP,Promoter Group,Equity Shares,189548,3.60,Equity Shares,1648,74638.00,Disposal,Equity,187900,3.57,22 May 2025,22 May 2025,23 May 2025,Market Sale,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Rachit Gajanan Bhavsar/Gajanan Vamanrao Bhavsar,Promoter Group,Equity Shares,26502,0.43,Equity Shares,26502,4223094.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Priyank Gajanan Bhavsar,Promoter Group,Equity Shares,36455,0.59,Equity Shares,36455,5809104.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
513709,Shilp Gravures Ltd-$,Sangita Gajanan Bhavsar/Gajanan Vamanrao Bhavsar,Promoter Group,Equity Shares,39441,0.64,Equity Shares,17770,2831650.00,Disposal,Equity,21671,0.35,26 May 2025,26 May 2025,26 May 2025,Off Market,,,,,,,BSE,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Kunal Anil Khanna,Designated Person,Equity Shares,0,0.00,Equity Shares,37590,63978180.00,Acquisition,Equity,37590,0.02,25 May 2025,25 May 2025,26 May 2025,ESOP,,,,,,,NA,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Dilip Singh Rathore,Designated Person,Equity Shares,0,0.00,Equity Shares,37590,63978180.00,Acquisition,Equity,37590,0.02,25 May 2025,25 May 2025,26 May 2025,ESOP,,,,,,,NA,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Vikas Khare,Designated Person,Equity Shares,1900,0.00,Equity Shares,500,854786.00,Disposal,Equity,1400,0.00,23 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,NSE,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Parmeshwar Bhawarlalji Bang,Designated Person,Equity Shares,9412,0.01,Equity Shares,400,682700.00,Revoke,Equity,9412,0.01,23 May 2025,23 May 2025,24 May 2025,Revocation Of Pledge,,,,,,,NA,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Parmeshwar Bhawarlalji Bang,Designated Person,Equity Shares,9412,0.01,Equity Shares,400,682700.00,Disposal,Equity,9012,0.01,23 May 2025,23 May 2025,24 May 2025,Market Sale,,,,,,,NSE,26 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,A. R. Subramanian,Designated Person,Equity Shares,1000,0.00,Equity Shares,1000,1684224.00,Disposal,Equity,0,0.00,21 May 2025,23 May 2025,25 May 2025,Market Sale,,,,,,,NSE,26 May 2025
506197,Bliss GVS Pharma Ltd,Mr. Gagan Harsh Sharma,Promoter & Director,Equity Shares,78863,0.07,Equity Shares,4707,571815.00,Acquisition,Equity,83570,0.07,22 May 2025,22 May 2025,23 May 2025,Market Purchase,,,,,,,BSE,26 May 2025
507685,Wipro Ltd,Sonal Ramrakhiani,Designated Person,Any other instrument,72889,0.00,Any other instrument,29200,7128625.00,Disposal,-,43689,0.00,21 May 2025,21 May 2025,23 May 2025,ESOP,,,,,,,NA,26 May 2025
507685,Wipro Ltd,Carlos Venda,Designated Person,Any other instrument,75069,0.00,Any other instrument,17200,4200527.00,Disposal,-,57869,0.00,21 May 2025,21 May 2025,23 May 2025,ESOP,,,,,,,NA,26 May 2025
507685,Wipro Ltd,Vishal Talwar,Designated Person,Any other instrument,135094,0.00,Any other instrument,48600,11864767.00,Disposal,-,86494,0.00,21 May 2025,21 May 2025,23 May 2025,ESOP,,,,,,,NA,26 May 2025
507685,Wipro Ltd,Narayan Surajnarayan,Designated Person,Any other instrument,17166,0.00,Any other instrument,17166,4190753.00,Disposal,-,0,0.00,22 May 2025,22 May 2025,22 May 2025,Market Sale,,,,,,,NA,26 May 2025
507315,Sakthi Sugars Ltd,ABT Investments India  Private Limited,Promoter Group,Equity Shares,66473540,55.93,Equity Shares,6804000,168399000.00,Revoke,Equity,66473540,55.93,20 May 2025,20 May 2025,22 May 2025,Revocation Of Pledge,,,,,,,NA,26 May 2025
500413,Thomas Cook (India) Ltd,NANDAKUMAR DEVARAJAN,Designated Person,Equity Shares,27326,0.01,Equity Shares,10000,1670000.00,Disposal,Equity,17326,0.00,21 May 2025,21 May 2025,23 May 2025,Market Sale,,,,,,,NSE,26 May 2025
500520,Mahindra & Mahindra Ltd,Anusha Kothandaraman,Designated Person,Equity Shares,4337,0.00,Equity Shares,750,2259525.00,Acquisition,Equity,5087,0.00,23 May 2025,23 May 2025,26 May 2025,ESOP,,,,,,,NA,26 May 2025
500520,Mahindra & Mahindra Ltd,Abhiyan Adhikari,Designated Person,Equity Shares,2784,0.00,Equity Shares,1300,3916510.00,Acquisition,Equity,4084,0.00,23 May 2025,23 May 2025,26 May 2025,ESOP,,,,,,,NA,26 May 2025
500034,Bajaj Finance Ltd,Bajaj Allianz General Insurance Company Limited,Promoter Group,Debentures,0,0.00,Debentures,10000,1010630370.00,Acquisition,-,10000,0.00,23 May 2025,23 May 2025,23 May 2025,Market Purchase,,,,,,,NSE,26 May 2025
500148,Uflex Ltd,Flex International Private Limited,Promoter Group,Equity Shares,9604287,13.30,Equity Shares,50000,23015000.00,Pledge,Equity,9604287,13.30,05 Mar 2025,05 Mar 2025,06 Mar 2025,Creation Of Pledge,,,,,,,NA,26 May 2025
500148,Uflex Ltd,Gopala Krishna Bhat,Designated Person,Equity Shares,3100,0.00,Equity Shares,1728,1129706.00,Disposal,Equity,1372,0.00,20 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,NSE,26 May 2025
500148,Uflex Ltd,Flex International Private Limited Revised ,Promoter Group,Equity Shares,9604287,13.30,Equity Shares,50000,23015000.00,Pledge,Equity,9604287,13.30,05 Mar 2025,05 Mar 2025,06 Mar 2025,Creation Of Pledge,,,,,,,NA,26 May 2025
533093,Raj Oil Mills Ltd,Parvez Shafee Ahmed Shaikh,Promoter & Director,Equity Shares,1325,0.01,Equity Shares,1152692,52044044.00,Acquisition,Equity,1154017,7.69,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Tabrez Shafi Ahmed Shaikh,Promoter & Director,Equity Shares,1320,0.01,Equity Shares,1152692,52044044.00,Acquisition,Equity,1154012,7.69,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Humayun Shafi Ahmed Shaikh,Promoter & Director,Equity Shares,1330,0.01,Equity Shares,1152692,52044044.00,Acquisition,Equity,1154022,7.69,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Zubair Shafi Ahmed Shaikh,Promoters Immediate Relative,Equity Shares,0,0.00,Equity Shares,494010,22304552.00,Acquisition,Equity,494010,3.30,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Firoz Shafi Ahmed Shaikh,Promoters Immediate Relative,Equity Shares,0,0.00,Equity Shares,32934,1486970.00,Acquisition,Equity,32934,0.22,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Shaila Parvez Shaikh,Promoters Immediate Relative,Equity Shares,0,0.00,Equity Shares,32934,1486970.00,Acquisition,Equity,32934,0.22,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Nausheen Tabrez Shaikh,Promoters Immediate Relative,Equity Shares,0,0.00,Equity Shares,98802,4460910.00,Acquisition,Equity,98802,0.66,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533093,Raj Oil Mills Ltd,Rubberwala Housing Infrastructure Private Ltd,Promoter,Equity Shares,5616757,37.47,Equity Shares,4116756,185871533.00,Disposal,Equity,1500001,10.00,22 May 2025,22 May 2025,23 May 2025,Inter-se Transfer,,,,,,,NA,25 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,236000,0.13,Equity Shares,16056,3814740.00,Acquisition,Equity,252056,0.14,21 May 2025,21 May 2025,22 May 2025,Market Purchase,,,,,,,NSE,24 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,252056,0.14,Equity Shares,2987,710827.00,Acquisition,Equity,255043,0.14,21 May 2025,21 May 2025,22 May 2025,Market Purchase,,,,,,,BSE,24 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,255043,0.14,Equity Shares,16362,3877637.00,Acquisition,Equity,271405,0.15,22 May 2025,22 May 2025,23 May 2025,Market Purchase,,,,,,,NSE,24 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,271405,0.15,Equity Shares,595,142041.00,Acquisition,Equity,272000,0.15,22 May 2025,22 May 2025,23 May 2025,Market Purchase,,,,,,,BSE,24 May 2025
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,88500,0.55,Equity Shares,7500,547125.00,Acquisition,Equity,96000,0.60,21 May 2025,21 May 2025,23 May 2025,Market Purchase,,,,,,,BSE,24 May 2025
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,96000,0.60,Equity Shares,3000,216150.00,Acquisition,Equity,99000,0.62,22 May 2025,22 May 2025,23 May 2025,Market Purchase,,,,,,,BSE,24 May 2025
544105,Harshdeep Hortico Ltd,Shankar Keshava Vailaya,Director,Equity Shares,99000,0.62,Equity Shares,1500,108000.00,Acquisition,Equity,100500,0.62,23 May 2025,23 May 2025,23 May 2025,Market Purchase,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Sumit Patil,Promoter Group,Equity Shares,1000,0.02,Equity Shares,1000,159350.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Ambar Jayantilal Patel HUF,Promoter Group,Equity Shares,901,0.01,Equity Shares,901,143574.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Ambar Jayantilal Patel/Amita Ambar Patel,Promoter,Equity Shares,246219,4.00,Equity Shares,241219,38438248.00,Disposal,Equity,5000,0.08,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Ambar Jayantilal Patel/Amita Ambar Patel,Promoter,Equity Shares,5000,0.08,Equity Shares,5000,796750.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Amita Ambar Patel/Ambar Jayantilal Patel,Promoter,Equity Shares,86991,1.41,Equity Shares,86991,13862016.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
513709,Shilp Gravures Ltd-$,Baldev Vitthaldas Patel,Promoter,Equity Shares,770756,12.53,Equity Shares,765756,122023219.00,Disposal,Equity,5000,0.08,23 May 2025,23 May 2025,24 May 2025,Off Market,,,,,,,BSE,24 May 2025
526841,Shakti Press Ltd,SHAKTI OFFSET PVT LTD,Promoter Group,Equity Shares,460598,13.09,Equity Shares,4019,112103.00,Disposal,Equity,456579,12.98,23 May 2025,23 May 2025,24 May 2025,Market Sale,,,,,,,BSE,24 May 2025
531173,Syschem India Ltd,Ranjan Jain,Promoter & Director,Equity Shares,3075336,7.06,Equity Shares,75336,3168632.00,Disposal,Equity,3000000,6.89,22 May 2025,23 May 2025,24 May 2025,Market Sale,,,,,,,BSE,24 May 2025
532626,Pondy Oxides & Chemicals Ltd,Anil Kumar Bansal,Promoter,Equity Shares,2507244,8.91,Equity Shares,400000,298458165.00,Disposal,Equity,2107244,7.49,23 May 2025,23 May 2025,24 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532626,Pondy Oxides & Chemicals Ltd,Saroj Rajendra Prasad Bansal,Promoter,Equity Shares,2716480,9.66,Equity Shares,200000,146625000.00,Disposal,Equity,2516480,8.95,23 May 2025,23 May 2025,24 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532286,Jindal Steel & Power Ltd,JSP Employee Benefit Trust,Other,Equity Shares,8068347,0.79,Equity Shares,1000000,967151500.00,Disposal,Equity,7068347,0.69,20 May 2025,20 May 2025,22 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532286,Jindal Steel & Power Ltd,JSP Employee Benefit Trust,Other,Equity Shares,7068347,0.69,Equity Shares,1000000,959899000.00,Disposal,Equity,6068347,0.59,21 May 2025,21 May 2025,23 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532286,Jindal Steel & Power Ltd,JSP Employee Benefit Trust,Other,Equity Shares,6068347,0.59,Equity Shares,591500,570218776.00,Disposal,Equity,5476847,0.54,22 May 2025,22 May 2025,23 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532286,Jindal Steel & Power Ltd,JSP Employee Benefit Trust,Other,Equity Shares,5476847,0.54,Equity Shares,319106,304953521.00,Disposal,Equity,5157741,0.51,23 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,NSE,24 May 2025
532406,Avantel Ltd,G V Jaganmohan,Employee,Equity Shares,35420,0.01,Equity Shares,17000,2215297.00,Disposal,Equity,18420,0.00,19 May 2025,22 May 2025,23 May 2025,Market Sale,,,,,,,NSE,23 May 2025
532406,Avantel Ltd,M Padmavathi,Employee,Equity Shares,30000,0.01,Equity Shares,17000,2291495.00,Disposal,Equity,13000,0.00,19 May 2025,19 May 2025,21 May 2025,Market Sale,,,,,,,NSE,23 May 2025
532809,Firstsource Solutions Ltd,Aftab Javed,Designated Person,Equity Shares,5000,0.00,Equity Shares,5000,1930000.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,NSE,23 May 2025
531241,Linc Ltd-$,DEVANSHI JALAN,Promoter Group,Equity Shares,1995728,3.35,Equity Shares,36000,4967759.00,Disposal,Equity,1959728,3.29,21 May 2025,21 May 2025,23 May 2025,Market Sale,,,,,,,NSE,23 May 2025
531241,Linc Ltd-$,AJANTA SALES PRIVATE LIMITED,Promoter Group,Equity Shares,957680,1.61,Equity Shares,36000,4967807.00,Acquisition,Equity,993680,1.67,21 May 2025,21 May 2025,23 May 2025,Market Purchase,,,,,,,NSE,23 May 2025
531335,Zydus Wellness Ltd-$,Ganesh N. Nayak,Director,Equity Shares,6550,0.00,Equity Shares,5376,10597064.00,Acquisition,Equity,11926,0.00,22 May 2025,22 May 2025,23 May 2025,Market Purchase,,,,,,,NSE,23 May 2025
530217,Swojas Foods Ltd,PARTHRAJSINH HARSHADSINH RANA,Promoter & Director,Equity Shares,1948746,6.29,Equity Shares,1400000,34650000.00,Disposal,Equity,548746,1.77,22 May 2025,22 May 2025,23 May 2025,Market Sale,,,,,,,BSE,23 May 2025
513575,Sterling Powergensys Ltd,SVETA ALLOYS LLP,Promoter Group,Equity Shares,191400,3.64,Equity Shares,1852,79895.00,Disposal,Equity,189548,3.60,21 May 2025,21 May 2025,22 May 2025,Market Sale,,,,,,,BSE,23 May 2025
519574,Hindustan Agrigenetics Ltd,S Prasuna,Promoter Group,Equity Shares,5000,0.11,Equity Shares,639,45890.00,Disposal,Equity,4361,0.10,20 May 2025,21 May 2025,22 May 2025,Market Sale,,,,,,,BSE,23 May 2025
518011,Keerthi Industries Ltd,Seshagiri Rao Jasti,Promoter & Director,Equity Shares,3331559,41.55,Equity Shares,250000,3.00,Disposal,Equity,3081559,38.44,21 May 2025,21 May 2025,22 May 2025,Gift,,,,,,,BSE,23 May 2025
518011,Keerthi Industries Ltd,Chetan Anand Buradagunta,Designated Person,Equity Shares,20000,0.25,Equity Shares,250000,3.00,Acquisition,Equity,270000,3.36,21 May 2025,21 May 2025,22 May 2025,Gift,,,,,,,BSE,23 May 2025
517146,Usha Martin Ltd,Peterhouse Investments Ltd.,Promoter Group,Equity Shares,3500000,1.15,Equity Shares,500000,160930000.00,Disposal,Equity,3000000,0.98,21 May 2025,22 May 2025,22 May 2025,Market Sale,,,,,,,NSE,23 May 2025
500264,Mafatlal Industries Ltd-$,Milan Shah,KMP,Equity Shares,176000,0.24,Equity Shares,1000,128000.00,Disposal,Equity,175000,0.24,23 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,BSE,23 May 2025
500264,Mafatlal Industries Ltd-$,Milan Shah,KMP,Equity Shares,177000,0.25,Equity Shares,1000,132000.00,Disposal,Equity,176000,0.24,19 May 2025,19 May 2025,21 May 2025,Market Sale,,,,,,,BSE,23 May 2025
500271,Max Financial Services Ltd,Max Financial Employees Welfare Trust,Trust,Equity Shares,1843547,0.53,Equity Shares,105000,144864366.00,Acquisition,Equity,1948547,0.56,20 May 2025,20 May 2025,22 May 2025,Market Purchase,,,,,,,NSE,23 May 2025
500520,Mahindra & Mahindra Ltd,Mukund Paranjape,Designated Person,Equity Shares,10044,0.00,Equity Shares,2514,7573928.00,Acquisition,Equity,12558,0.00,23 May 2025,23 May 2025,23 May 2025,ESOP,,,,,,,NA,23 May 2025
500520,Mahindra & Mahindra Ltd,Basant Bhansali,Designated Person,Equity Shares,0,0.00,Equity Shares,1500,4519050.00,Acquisition,Equity,1500,0.00,23 May 2025,23 May 2025,23 May 2025,ESOS,,,,,,,NA,23 May 2025
500520,Mahindra & Mahindra Ltd,Mahindra & Mahindra Employees’ Stock Option Trust,Trust,Equity Shares,42613448,3.43,Equity Shares,17765,78605.00,Disposal,Equity,42595683,3.43,23 May 2025,23 May 2025,23 May 2025,ESOP,,,,,,,NA,23 May 2025
